,0
0,0.0029724537041391787
1,0.003709056208235602
2,0.0055210140364979525
3,0.0035456100719523554
4,0.003663257372669731
5,0.004208282369535442
6,0.013220999137848341
7,0.0035254754241911203
8,0.002999764872453981
9,0.0033319904279826584
10,0.0047142836000278986
11,0.003702144488308769
12,0.004485896432606246
13,0.0027082653978607665
14,0.002308916421382814
15,0.0064683457940344306
16,0.0039456475779957026
17,0.012777042110626928
18,0.006118558280881218
19,0.007161792586029098
20,0.0061717426415989094
21,0.008926302458790157
22,0.007156074566661703
23,0.004291792990459273
24,0.003636569587965156
25,0.0024706947584804905
26,0.00230604108988612
27,0.004058336474557147
28,0.0019378211634328932
29,0.0019321119990453079
30,0.0026456556418502446
31,0.00512085792689228
32,0.003641849270233808
33,0.003329336207852758
34,0.0036703558287986557
35,0.006120014945378228
36,0.003510636444265243
37,0.00281242429390386
38,0.0028468654280804266
39,0.003973430459336477
40,0.003757859157640223
41,0.0025398638673539324
42,0.0031521463973108632
43,0.0027401488924678973
44,0.0018736141546549674
45,0.0025898993929297895
46,0.0026094677613588296
47,0.003479060848592338
48,0.002379803834930525
49,0.0032327971784803238
50,0.002901666394106604
51,0.002937231386069201
52,0.004119183722745285
53,0.002631472062146442
54,0.0032582874504144673
55,0.004428083430506981
56,0.004022385926286837
57,0.0036488216814906664
58,0.0026450567182063804
59,0.00403843313023013
60,0.0030855683925264978
61,0.0028855267711567043
62,0.002614726829194674
63,0.0038285690124447228
64,0.003507464123578487
65,0.00543909994272017
66,0.002942288348598562
67,0.0032297724687198595
68,0.002080079197274973
69,0.002763407442469213
70,0.0023479505281540094
71,0.0026017879949729776
72,0.004232393134072813
73,0.0033497604582869633
74,0.003040193742670362
75,0.003181438187389768
76,0.002819393490719882
77,0.004501871988724282
78,0.004658913796752303
79,0.004691729499411118
80,0.0035039718658327924
81,0.002911029018868604
82,0.0031269173918604537
83,0.003241342335298182
84,0.0029592671581732807
85,0.002797024678041047
86,0.0023862788820198915
87,0.002954103439738069
88,0.0030963681058942738
89,0.002979336676662
90,0.002966248936407518
91,0.0070307738174077575
92,0.002167758809867604
93,0.003276318981852621
94,0.004041267325099946
95,0.003020320157070374
96,0.0034181115416836677
97,0.0031485820028085794
98,0.007053672577316819
99,0.007568329411783281
100,0.005550514453899366
101,0.006663705962259733
102,0.0027795837080803083
103,0.004587047471660786
104,0.004091326304104585
105,0.0022691025212988915
106,0.0033793010592687374
107,0.003912549067780845
108,0.00366395031230702
109,0.003261190230540332
110,0.003143877414612487
111,0.002684489068737569
112,0.007369027881184587
113,0.004458146785875639
114,0.007421625445486062
115,0.004191988332385682
116,0.003061057216342065
117,0.007183086285825009
118,0.004983387146956653
119,0.010181295083716537
120,0.009024191142877381
121,0.006065577316718336
122,0.0024555278690935834
123,0.0031106918761252336
124,0.0037265060945102964
125,0.005145467284329482
126,0.007185907183286569
127,0.0029834067559802425
128,0.0030032683565630373
129,0.0025106257745949137
130,0.0013272135144425743
131,0.0023591197467968204
132,0.002090873739687529
133,0.0017421136102184218
134,0.002086764440733032
135,0.0028422598496886616
136,0.0022338797494312265
137,0.002986894804302548
138,0.0035602070851791672
139,0.0036874356319518357
140,0.005574690995770867
141,0.004183036047528103
142,0.004543262878189965
143,0.0031653790943666697
144,0.0026017422578863136
145,0.004403038190998653
146,0.004887352672012145
147,0.00235919809560149
148,0.0020862898577283687
149,0.0038277477505208797
150,0.0027124622486241062
151,0.0052582921688653595
152,0.014313558454846142
