,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  5.  0.  7.  5.  4.  3.  4. 11.  8. 12. 13. 13.  5.  7.  4.  5.  6.  3.
  4.  2.  3.  4.  1.  8.  5. 13.  8.  4.  7.  5.  5.  8.  6.  6.  5. 10.
  9.  9.  8. 10. 11.  7. 12. 14.  8.  6.  7.  6.  7.  5.  8.  7.  8. 12.
 11. 12.  9.  8.  9.  9. 10. 10. 10. 11. 12. 11. 14. 11. 11. 10.  0. 12.
 14. 14. 15. 11. 11. 13. 15. 14. 15. 13. 15. 12. 12. 13. 13. 10. 13. 10.
 10.  9.  9. 10.  5. 13. 13. 12.  9.  8.  9.  9.  0.  8.  8. 11.  6. 12.
 12.  7. 11. 11. 11. 11. 10.  6.  6.  8.  7.  7.  6.  6.  8.  6.  4.  7.
  5.  5.  4.  5.  6.  0.  3.  4.  4.  3.  2.  2.  3.  1.  1.  7.  2.  5.
  4.  3.  7.  9.  4.  2.  3.  6.  5.  5.  7.  2.  1.  3.  1.  4.  5.  6.
  4. 11. 10.  8.  0. 10. 15. 12. 12.  5.  7.  7.  5.  0.  5.  7.  9.  9.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  3.  7.  0.  4.  5.  5.  6.  7.  7.  8.  9.  9.  4.  4.  2.  2.  2.  7.
  3.  5.  6.  6.  7. 12.  9.  8.  4.  8.  3.  3.  3.  5.  4.  4.  3.  6.
  5.  5.  6.  6.  6.  5.  7. 10.  4.  4.  5.  4.  5.  3.  7.  8.  7.  8.
  7.  8.  6.  5.  6.  6.  7.  7.  7.  8.  9. 12.  9.  8.  8.  7.  0.  9.
 10. 10. 11. 12. 12.  9. 11. 10. 11. 12. 10.  9. 10. 10. 14. 10. 14. 11.
 11. 10. 10. 11.  5.  9.  9.  9.  9.  8.  9.  9.  0.  9.  8. 11. 10. 12.
 12.  7. 12. 12. 10. 11. 10.  6.  6.  4.  3.  3.  2.  4. 12. 10.  8.  3.
  6.  9.  8.  9.  6.  0. 10.  6. 11. 10.  9.  9.  7.  8.  7.  1.  4.  5.
  4.  3.  7.  9.  5.  6.  5.  1.  4.  6.  3.  7.  8.  4.  6.  5.  3.  4.
  7.  8.  9.  9.  0. 10. 11. 13. 11.  5. 10. 11.  9.  0.  7. 11.  6.  6.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  5.  4.  0.  1.  2.  3.  7.  9.  8.  9.  9.  2.  3.  4.  4.  5.  4.
  3.  3.  3.  3.  5. 13. 10.  7.  6.  9.  5.  5.  4.  4.  4.  4.  5.  8.
  7.  5.  8.  6.  5.  8.  6. 10.  8.  6.  8.  7.  8.  5.  9.  9.  8.  8.
  7.  8.  5.  4.  5.  5.  6.  6.  6.  7.  8. 11.  8.  7.  7.  6.  0.  8.
 10. 10. 11. 11. 11.  9. 11. 10. 11. 12.  9.  8.  9.  9. 13.  9. 13. 10.
 10.  9.  9. 10.  6.  9.  9.  8.  9.  9. 10. 10.  0. 10.  9. 12. 11. 13.
 13.  7. 11. 11. 10. 12. 11.  7.  7.  4.  3.  3.  2.  4. 13. 11.  9.  3.
  4. 10.  9. 10.  6.  0.  7.  6.  6.  5.  6.  6.  8.  6.  5.  3.  5.  6.
  5.  4.  8. 10.  6.  7.  6.  5.  4.  4.  3.  4.  5.  3.  4.  3.  5.  6.
  4.  7.  8.  8.  0. 11. 11. 12. 10.  5. 12. 12. 10.  0.  7. 12.  5.  5.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  4.  5.  1.  0.  1.  2.  7.  9.  8.  9.  9.  1.  3.  4.  3.  4.  3.
  2.  2.  2.  2.  4. 12.  9.  7.  6.  8.  5.  5.  4.  4.  4.  4.  5.  8.
  7.  5.  8.  6.  5.  7.  6. 10.  8.  6.  7.  6.  7.  5.  9.  9.  8.  8.
  7.  8.  5.  4.  5.  5.  6.  6.  6.  7.  8. 11.  8.  7.  7.  6.  0.  8.
 10. 10. 11. 11. 11.  9. 11. 10. 11. 12.  9.  8.  9.  9. 13.  9. 13. 10.
 10.  9.  9. 10.  5.  9.  9.  8.  9.  8.  9.  9.  0.  9.  8. 11. 10. 13.
 13.  7. 11. 11. 10. 12. 11.  6.  6.  4.  3.  3.  2.  4. 12. 10.  8.  3.
  3.  9.  8.  9.  6.  0.  6.  5.  5.  4.  5.  5.  7.  5.  4.  3.  4.  5.
  4.  3.  7.  9.  5.  6.  5.  4.  3.  3.  3.  3.  4.  2.  3.  2.  5.  6.
  3.  7.  8.  8.  0. 10. 11. 12. 10.  5. 11. 11.  9.  0.  6. 11.  5.  5.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  2.  3.  5.  2.  1.  0.  1.  8. 10.  9. 10. 10.  2.  4.  5.  3.  4.  2.
  2.  1.  1.  1.  3. 11.  8.  8.  7.  7.  6.  6.  5.  5.  5.  5.  6.  9.
  8.  6.  9.  7.  6.  6.  7. 11.  9.  5.  6.  5.  6.  4. 10.  6.  9.  9.
  8.  9.  6.  5.  6.  6.  7.  7.  7.  8.  9. 12.  9.  8.  8.  7.  0.  9.
 11. 11. 12. 12. 12. 10. 12. 11. 12. 13. 10.  9. 10. 10. 14. 10. 14. 11.
 11. 10. 10. 11.  4. 10. 10.  9.  8.  7.  8.  8.  0.  8.  7. 10.  9. 11.
 11.  8. 12. 12. 11. 10.  9.  5.  5.  5.  4.  4.  3.  5. 11.  9.  7.  4.
  2.  8.  7.  8.  7.  0.  5.  4.  4.  3.  4.  4.  6.  4.  3.  4.  3.  4.
  3.  2.  6.  8.  4.  5.  4.  4.  2.  2.  4.  2.  3.  1.  2.  1.  6.  7.
  2.  8.  9.  9.  0.  9. 12. 13. 11.  6. 10. 10.  8.  0.  5. 10.  6.  6.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  3.  4.  6.  3.  2.  1.  0.  9. 11. 10. 11. 11.  3.  5.  6.  4.  5.  1.
  3.  2.  2.  2.  4. 11.  8.  9.  8.  7.  7.  7.  6.  6.  6.  6.  7. 10.
  9.  7. 10.  8.  7.  7.  8. 12. 10.  6.  7.  6.  7.  5. 11.  7. 10. 10.
  9. 10.  7.  6.  7.  7.  8.  8.  8.  9. 10. 13. 10.  9.  9.  8.  0. 10.
 12. 12. 13. 13. 13. 11. 13. 12. 13. 14. 11. 10. 11. 11. 15. 11. 15. 12.
 12. 11. 11. 12.  5. 11. 11. 10.  9.  8.  9.  9.  0.  9.  8. 11.  9. 12.
 12.  6. 13. 13. 12. 11. 10.  6.  6.  6.  5.  5.  4.  5. 11.  9.  7.  4.
  3.  8.  7.  8.  5.  0.  5.  3.  3.  2.  4.  2.  6.  4.  5.  5.  4.  5.
  4.  3.  7.  9.  5.  5.  5.  5.  3.  1.  5.  3.  3.  2.  3.  2.  7.  8.
  1.  9. 10. 10.  0. 10. 13. 14. 12.  4. 10. 10.  8.  0.  4. 10.  7.  7.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  6. 11.  7.  7.  7.  8.  9.  0.  2.  1.  2.  2.  8.  4.  5.  8.  7. 10.
  9.  9.  9.  9. 11.  8. 10.  3.  4.  9.  4.  5.  5.  4.  5.  5.  5.  1.
  2.  3.  2.  1.  2.  3.  2.  3.  3.  5.  3.  4.  4.  6.  3.  2.  1.  1.
  1.  1.  3.  3.  4.  3.  5.  5.  4.  7.  8.  7.  3.  3.  6.  5.  0.  7.
  3.  3.  4.  5.  7.  2.  4.  3.  4.  5.  4.  4.  6.  5.  9.  9.  9. 10.
  8.  7.  9.  6.  5.  2.  2.  4.  2.  5.  6.  3.  0.  6.  5.  5.  8.  6.
  6. 11.  5.  6.  3.  5.  4.  3.  3.  6.  5.  6.  5.  7. 10.  8.  9.  6.
  9. 10.  9. 10.  9.  0. 10.  9. 12. 11.  9. 13.  8.  8.  9.  6.  9.  4.
  7.  8.  4.  6.  5.  7.  6.  8.  7.  9.  6. 11. 12.  9. 10.  8.  5.  4.
 10.  6.  8. 10.  0.  4.  4.  8.  6.  8.  7.  7.  9.  0. 10.  9.  4.  4.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  8.  8.  7.  9.  9. 10. 11.  2.  0.  3.  4.  4. 10.  6.  5.  8.  7. 12.
  9.  8.  9. 11.  8.  7.  9.  6.  4.  8.  4.  5.  7.  4.  7.  5.  5.  1.
  2.  3.  2.  3.  4.  3.  5.  5.  3.  5.  2.  3.  4.  6.  1.  1.  1.  3.
  3.  3.  5.  5.  6.  5.  7.  7.  6.  9. 10.  9.  5.  5.  8.  7.  0.  9.
  5.  5.  6.  7.  9.  4.  6.  5.  6.  7.  6.  6.  8.  7. 11. 11. 11. 12.
 10. 13. 11.  8.  4.  4.  4.  6.  5.  4.  5.  5.  0.  5.  4.  7.  7.  8.
  8. 13.  7.  8.  5.  7.  6.  2.  2.  8.  7.  8.  7.  9.  9.  7.  8.  8.
 11.  9.  8.  9. 11.  0.  9. 11. 12. 11.  8. 10.  7.  7.  8.  6.  6.  3.
  4.  5.  3.  5.  4.  6.  5.  8.  9. 11.  8.  8.  9.  6.  7. 10.  5.  4.
 12.  8. 10. 12.  0.  6.  6. 10.  8. 10.  6.  6.  8.  0. 12.  8.  6.  6.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  7. 12.  8.  8.  8.  9. 10.  1.  3.  0.  2.  1.  9.  5.  6.  9.  8. 11.
 10. 10. 10. 10. 12. 10. 11.  4.  5. 10.  5.  6.  6.  5.  6.  6.  6.  2.
  3.  4.  3.  2.  3.  4.  3.  2.  4.  6.  4.  5.  5.  7.  4.  3.  2.  2.
  2.  3.  4.  4.  5.  4.  6.  6.  5.  8.  9.  8.  2.  2.  7.  3.  0.  8.
  2.  4.  5.  6.  6.  3.  3.  2.  3.  4.  3.  3.  5.  4.  8. 10.  8.  8.
  7.  8. 10.  7.  6.  1.  1.  3.  4.  5.  7.  6.  0.  8.  6.  8. 10.  7.
  7. 12.  6.  7.  4.  6.  5.  4.  4.  7.  6.  7.  6.  8. 12. 10. 10.  7.
 10. 11. 10. 11. 10.  0. 11. 10. 13. 12. 10. 14.  9.  9. 10.  7. 10.  5.
  8.  9.  5.  7.  6.  8.  7.  9.  8. 10.  7. 12. 13. 10. 11.  9.  6.  5.
 11.  7.  9. 11.  0.  7.  5.  7.  5.  9.  9.  9. 11.  0. 11. 11.  5.  5.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  8. 13.  9.  9.  9. 10. 11.  2.  4.  2.  0.  1. 10.  6.  7. 10.  9. 12.
 11. 11. 11. 11. 13.  8. 12.  5.  6. 11.  6.  7.  7.  6.  7.  7.  7.  3.
  4.  5.  4.  3.  4.  5.  4.  4.  5.  7.  5.  6.  6.  8.  5.  4.  3.  4.
  3.  1.  5.  5.  6.  5.  7.  7.  6.  9. 10.  6.  3.  4.  8.  5.  0.  9.
  2.  2.  3.  4.  6.  1.  3.  1.  3.  4.  3.  4.  5.  5.  8.  9.  8.  8.
  7.  6.  8.  5.  7.  3.  3.  5.  2.  3.  5.  4.  0.  6.  5.  6.  8.  5.
  5.  8.  4.  5.  2.  4.  3.  5.  5.  8.  7.  8.  7.  9. 10.  8. 10.  8.
 11. 11. 11. 12.  9.  0. 12. 11. 14. 13. 11. 15. 10. 10. 11.  8. 11.  6.
  9. 10.  4.  6.  7.  9.  8. 10.  9. 11.  8. 13. 14. 11. 12. 10.  7.  6.
 12.  8. 10.  7.  0.  5.  3.  7.  5. 10.  7.  7.  9.  0. 12.  9.  6.  6.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  8. 13.  9.  9.  9. 10. 11.  2.  4.  1.  1.  0. 10.  6.  7. 10.  9. 12.
 11. 11. 11. 11. 13.  9. 12.  5.  6. 11.  6.  7.  7.  6.  7.  7.  7.  3.
  4.  5.  4.  3.  4.  5.  4.  3.  5.  7.  5.  6.  6.  8.  5.  4.  3.  3.
  3.  2.  5.  5.  6.  5.  7.  7.  6.  9. 10.  7.  2.  3.  8.  4.  0.  9.
  1.  3.  4.  5.  5.  2.  2.  1.  2.  3.  2.  3.  4.  4.  7. 11.  7.  7.
  6.  7. 11.  6.  7.  2.  2.  4.  3.  4.  6.  5.  0.  7.  6.  7.  9.  6.
  6.  9.  5.  6.  3.  5.  4.  5.  5.  8.  7.  8.  7.  9. 11.  9. 11.  8.
 11. 12. 11. 12. 10.  0. 12. 11. 14. 13. 11. 15. 10. 10. 11.  8. 11.  6.
  9. 10.  5.  7.  7.  9.  8. 10.  9. 11.  8. 13. 14. 11. 12. 10.  7.  6.
 12.  8. 10.  8.  0.  6.  4.  6.  4. 10.  8.  8. 10.  0. 12. 10.  6.  6.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  2.  5.  4.  2.  1.  2.  3.  8. 10.  9. 10. 10.  0.  4.  5.  2.  3.  4.
  1.  3.  3.  3.  5. 13. 10.  8.  7.  9.  6.  6.  5.  5.  5.  5.  6.  9.
  8.  6.  9.  7.  6.  6.  7. 11.  7.  5.  6.  5.  6.  4. 10. 10.  9.  9.
  8.  9.  6.  5.  6.  6.  7.  7.  7.  8.  9. 12.  9.  8.  8.  7.  0.  9.
 11. 11. 12. 12. 12. 10. 12. 11. 12. 13. 10.  9. 10. 10. 14. 10. 14. 11.
 11. 10. 10. 11.  6. 10. 10.  9. 10.  9. 10. 10.  0. 10.  9. 12. 11. 14.
 14.  8. 12. 12. 11. 13. 12.  7.  7.  5.  4.  4.  3.  5. 13. 11.  9.  4.
  4. 10.  9. 10.  7.  0.  7.  6.  6.  5.  6.  6.  8.  6.  5.  4.  4.  6.
  5.  3.  8. 10.  6.  7.  6.  3.  4.  4.  4.  4.  5.  2.  4.  3.  6.  7.
  4.  8.  9.  9.  0. 11. 12. 13. 11.  6. 11. 12. 10.  0.  7. 12.  6.  6.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
